subject	session	n_frames	mean_fd	median_fd	max_fd	n_frames_above_03	pct_frames_above_03	n_frames_above_05	pct_frames_above_05
sub-14	ses-02	240	0.11629139871799171	0.1068812	0.3512695805	3	1.25	0	0.0
sub-15	ses-01	240	0.2788715582744768	0.26056155	0.92315368	99	41.25	8	3.3333333333333335
sub-15	ses-02	240	0.31933917710041837	0.2688970000000001	1.184740999999995	105	43.75	32	13.333333333333334
sub-16	ses-01	240	0.24604625082008358	0.23497410000000002	0.6123192000000002	79	32.916666666666664	8	3.3333333333333335
sub-16	ses-02	240	0.24427586117154834	0.23411725000000003	0.6036277000000001	79	32.916666666666664	3	1.25
sub-17	ses-01	240	0.2657108816606694	0.26578415000000005	0.6434035000000048	94	39.166666666666664	4	1.6666666666666667
sub-17	ses-02	240	0.2527978271855229	0.25372280000000014	0.547178495	84	35.0	3	1.25
sub-18	ses-01	240	0.12011245518828467	0.10868957000000001	0.29568945	0	0.0	0	0.0
sub-18	ses-02	240	0.1251572041631798	0.11532908999999991	0.39965789499999504	2	0.8333333333333334	0	0.0
sub-19	ses-01	240	0.16262861702092027	0.15452839999999987	0.7087341749999951	13	5.416666666666667	1	0.4166666666666667
sub-19	ses-02	240	0.1995013021943933	0.18541789500000003	0.47633155	45	18.75	0	0.0
sub-20	ses-01	240	0.18992107439330522	0.1728816	0.5879949999999998	29	12.083333333333334	1	0.4166666666666667
sub-20	ses-02	240	0.21405574556485366	0.20569100000000012	0.5664271999999997	45	18.75	3	1.25
sub-21	ses-01	240	0.32637469935146446	0.2918953000000051	0.8050733999999999	116	48.333333333333336	39	16.25
sub-21	ses-02	240	0.27040061956903755	0.25202406499999996	0.82859939	83	34.583333333333336	15	6.25
sub-22	ses-01	240	0.21010783989029275	0.21172144999999498	0.4711640200000001	46	19.166666666666668	0	0.0
sub-22	ses-02	240	0.2639940413732215	0.24532381200000497	0.67846224	77	32.083333333333336	5	2.0833333333333335
sub-23	ses-01	240	0.22054027740711304	0.185867405	0.9048467000000001	47	19.583333333333332	8	3.3333333333333335
sub-23	ses-02	240	0.1989182476832635	0.18942965	0.62387991	40	16.666666666666668	3	1.25
sub-24	ses-01	240	0.27843209705439315	0.238542599999995	0.787477135	78	32.5	30	12.5
sub-24	ses-02	240	0.2471567273891215	0.2317601500000001	0.731823925	76	31.666666666666668	6	2.5
sub-25	ses-01	240	0.2242046235062761	0.224374050000005	0.7524727954999999	64	26.666666666666668	5	2.0833333333333335
sub-25	ses-02	240	0.15402287635564854	0.14908294999999994	0.387375450000005	9	3.75	0	0.0
sub-26	ses-01	240	0.3527032444010041	0.32265295	1.276667565	135	56.25	54	22.5
sub-26	ses-02	240	0.24958912157154825	0.22749194999999497	1.1886898500000003	72	30.0	11	4.583333333333333
sub-27	ses-01	240	0.19431354167782383	0.16501079999999996	0.581918735	45	18.75	1	0.4166666666666667
