roi_id	mean_tsnr	median_tsnr	std_tsnr	n_subjects
351	25.224	25.297	13.97	70
352	6.907	5.188	4.94	48
353	29.298	29.532	5.246	70
354	39.181	39.257	7.234	70
355	36.325	35.15	8.752	70
356	29.761	29.852	8.288	70
357	21.541	20.921	8.065	70
358	22.505	22.229	4.977	70
359	53.12	52.994	6.808	70
360	41.923	42.683	7.791	70
