subject	session	layer	n_rois	n_timepoints	status	elapsed_sec	timestamp
sub-18	ses-02	Motor	36	240	DONE	6.7	2026-06-22T11:00:00
sub-18	ses-02	Auditory	14	240	DONE	6.7	2026-06-22T11:00:00
sub-19	ses-01	Interoception	11	240	DONE	6.1	2026-06-22T11:00:06
sub-19	ses-01	Exteroception	14	240	DONE	6.1	2026-06-22T11:00:06
sub-19	ses-01	Cognition	12	240	DONE	6.1	2026-06-22T11:00:06
sub-19	ses-01	Visual	55	240	DONE	6.2	2026-06-22T11:00:06
sub-19	ses-01	Motor	36	240	DONE	6.2	2026-06-22T11:00:07
sub-19	ses-01	Auditory	14	240	DONE	6.2	2026-06-22T11:00:07
sub-19	ses-02	Interoception	11	240	DONE	6.0	2026-06-22T11:00:13
sub-19	ses-02	Exteroception	14	240	DONE	6.1	2026-06-22T11:00:13
sub-19	ses-02	Cognition	12	240	DONE	6.1	2026-06-22T11:00:13
sub-19	ses-02	Visual	55	240	DONE	6.1	2026-06-22T11:00:13
sub-19	ses-02	Motor	36	240	DONE	6.1	2026-06-22T11:00:13
sub-19	ses-02	Auditory	14	240	DONE	6.2	2026-06-22T11:00:13
sub-20	ses-01	Interoception	11	240	DONE	6.4	2026-06-22T11:00:19
sub-20	ses-01	Exteroception	14	240	DONE	6.4	2026-06-22T11:00:19
sub-20	ses-01	Cognition	12	240	DONE	6.4	2026-06-22T11:00:19
sub-20	ses-01	Visual	55	240	DONE	6.4	2026-06-22T11:00:19
sub-20	ses-01	Motor	36	240	DONE	6.5	2026-06-22T11:00:19
sub-20	ses-01	Auditory	14	240	DONE	6.5	2026-06-22T11:00:19
sub-20	ses-02	Interoception	11	240	DONE	6.1	2026-06-22T11:00:25
sub-20	ses-02	Exteroception	14	240	DONE	6.2	2026-06-22T11:00:25
sub-20	ses-02	Cognition	12	240	DONE	6.2	2026-06-22T11:00:25
sub-20	ses-02	Visual	55	240	DONE	6.2	2026-06-22T11:00:25
sub-20	ses-02	Motor	36	240	DONE	6.2	2026-06-22T11:00:25
sub-20	ses-02	Auditory	14	240	DONE	6.3	2026-06-22T11:00:25
sub-21	ses-01	Interoception	11	240	DONE	6.3	2026-06-22T11:00:32
sub-21	ses-01	Exteroception	14	240	DONE	6.3	2026-06-22T11:00:32
sub-21	ses-01	Cognition	12	240	DONE	6.3	2026-06-22T11:00:32
sub-21	ses-01	Visual	55	240	DONE	6.3	2026-06-22T11:00:32
sub-21	ses-01	Motor	36	240	DONE	6.4	2026-06-22T11:00:32
sub-21	ses-01	Auditory	14	240	DONE	6.4	2026-06-22T11:00:32
sub-21	ses-02	Interoception	11	240	DONE	6.7	2026-06-22T11:00:38
sub-21	ses-02	Exteroception	14	240	DONE	6.7	2026-06-22T11:00:38
sub-21	ses-02	Cognition	12	240	DONE	6.7	2026-06-22T11:00:38
sub-21	ses-02	Visual	55	240	DONE	6.7	2026-06-22T11:00:39
sub-21	ses-02	Motor	36	240	DONE	6.8	2026-06-22T11:00:39
sub-21	ses-02	Auditory	14	240	DONE	6.8	2026-06-22T11:00:39
sub-22	ses-01	Interoception	11	240	DONE	6.8	2026-06-22T11:00:45
sub-22	ses-01	Exteroception	14	240	DONE	6.8	2026-06-22T11:00:45
sub-22	ses-01	Cognition	12	240	DONE	6.8	2026-06-22T11:00:45
sub-22	ses-01	Visual	55	240	DONE	6.9	2026-06-22T11:00:45
sub-22	ses-01	Motor	36	240	DONE	6.9	2026-06-22T11:00:45
sub-22	ses-01	Auditory	14	240	DONE	6.9	2026-06-22T11:00:45
sub-22	ses-02	Interoception	11	240	DONE	7.4	2026-06-22T11:00:53
sub-22	ses-02	Exteroception	14	240	DONE	7.4	2026-06-22T11:00:53
sub-22	ses-02	Cognition	12	240	DONE	7.4	2026-06-22T11:00:53
sub-22	ses-02	Visual	55	240	DONE	7.5	2026-06-22T11:00:53
sub-22	ses-02	Motor	36	240	DONE	7.5	2026-06-22T11:00:53
sub-22	ses-02	Auditory	14	240	DONE	7.5	2026-06-22T11:00:53
sub-23	ses-01	Interoception	11	240	DONE	6.3	2026-06-22T11:00:59
sub-23	ses-01	Exteroception	14	240	DONE	6.3	2026-06-22T11:00:59
sub-23	ses-01	Cognition	12	240	DONE	6.3	2026-06-22T11:00:59
sub-23	ses-01	Visual	55	240	DONE	6.4	2026-06-22T11:00:59
sub-23	ses-01	Motor	36	240	DONE	6.4	2026-06-22T11:00:59
sub-23	ses-01	Auditory	14	240	DONE	6.4	2026-06-22T11:00:59
sub-23	ses-02	Interoception	11	240	DONE	6.4	2026-06-22T11:01:06
sub-23	ses-02	Exteroception	14	240	DONE	6.4	2026-06-22T11:01:06
sub-23	ses-02	Cognition	12	240	DONE	6.4	2026-06-22T11:01:06
sub-23	ses-02	Visual	55	240	DONE	6.4	2026-06-22T11:01:06
sub-23	ses-02	Motor	36	240	DONE	6.5	2026-06-22T11:01:06
sub-23	ses-02	Auditory	14	240	DONE	6.5	2026-06-22T11:01:06
sub-24	ses-01	Interoception	11	240	DONE	6.3	2026-06-22T11:01:12
sub-24	ses-01	Exteroception	14	240	DONE	6.3	2026-06-22T11:01:12
sub-24	ses-01	Cognition	12	240	DONE	6.3	2026-06-22T11:01:12
sub-24	ses-01	Visual	55	240	DONE	6.3	2026-06-22T11:01:12
sub-24	ses-01	Motor	36	240	DONE	6.4	2026-06-22T11:01:12
sub-24	ses-01	Auditory	14	240	DONE	6.4	2026-06-22T11:01:12
sub-24	ses-02	Interoception	11	240	DONE	6.3	2026-06-22T11:01:19
sub-24	ses-02	Exteroception	14	240	DONE	6.3	2026-06-22T11:01:19
sub-24	ses-02	Cognition	12	240	DONE	6.3	2026-06-22T11:01:19
sub-24	ses-02	Visual	55	240	DONE	6.3	2026-06-22T11:01:19
sub-24	ses-02	Motor	36	240	DONE	6.4	2026-06-22T11:01:19
sub-24	ses-02	Auditory	14	240	DONE	6.4	2026-06-22T11:01:19
sub-25	ses-01	Interoception	11	240	DONE	6.5	2026-06-22T11:01:25
sub-25	ses-01	Exteroception	14	240	DONE	6.5	2026-06-22T11:01:25
sub-25	ses-01	Cognition	12	240	DONE	6.5	2026-06-22T11:01:25
sub-25	ses-01	Visual	55	240	DONE	6.5	2026-06-22T11:01:25
sub-25	ses-01	Motor	36	240	DONE	6.6	2026-06-22T11:01:25
sub-25	ses-01	Auditory	14	240	DONE	6.6	2026-06-22T11:01:25
sub-25	ses-02	Interoception	11	240	DONE	5.9	2026-06-22T11:01:31
sub-25	ses-02	Exteroception	14	240	DONE	5.9	2026-06-22T11:01:31
sub-25	ses-02	Cognition	12	240	DONE	6.0	2026-06-22T11:01:31
sub-25	ses-02	Visual	55	240	DONE	6.0	2026-06-22T11:01:31
sub-25	ses-02	Motor	36	240	DONE	6.1	2026-06-22T11:01:31
sub-25	ses-02	Auditory	14	240	DONE	6.1	2026-06-22T11:01:31
sub-27	ses-01	Interoception	11	240	DONE	6.3	2026-06-22T11:01:38
sub-27	ses-01	Exteroception	14	240	DONE	6.3	2026-06-22T11:01:38
sub-27	ses-01	Cognition	12	240	DONE	6.3	2026-06-22T11:01:38
sub-27	ses-01	Visual	55	240	DONE	6.3	2026-06-22T11:01:38
sub-27	ses-01	Motor	36	240	DONE	6.4	2026-06-22T11:01:38
sub-27	ses-01	Auditory	14	240	DONE	6.4	2026-06-22T11:01:38
sub-27	ses-02	Interoception	11	240	DONE	6.2	2026-06-22T11:01:44
sub-27	ses-02	Exteroception	14	240	DONE	6.2	2026-06-22T11:01:44
sub-27	ses-02	Cognition	12	240	DONE	6.2	2026-06-22T11:01:44
sub-27	ses-02	Visual	55	240	DONE	6.3	2026-06-22T11:01:44
sub-27	ses-02	Motor	36	240	DONE	6.3	2026-06-22T11:01:44
sub-27	ses-02	Auditory	14	240	DONE	6.3	2026-06-22T11:01:44
sub-28	ses-01	Interoception	11	240	DONE	6.8	2026-06-22T11:01:51
sub-28	ses-01	Exteroception	14	240	DONE	6.8	2026-06-22T11:01:51
sub-28	ses-01	Cognition	12	240	DONE	6.8	2026-06-22T11:01:51
sub-28	ses-01	Visual	55	240	DONE	6.9	2026-06-22T11:01:51
sub-28	ses-01	Motor	36	240	DONE	6.9	2026-06-22T11:01:51
sub-28	ses-01	Auditory	14	240	DONE	6.9	2026-06-22T11:01:51
sub-28	ses-02	Interoception	11	240	DONE	6.3	2026-06-22T11:01:57
sub-28	ses-02	Exteroception	14	240	DONE	6.4	2026-06-22T11:01:57
sub-28	ses-02	Cognition	12	240	DONE	6.4	2026-06-22T11:01:57
sub-28	ses-02	Visual	55	240	DONE	6.4	2026-06-22T11:01:57
sub-28	ses-02	Motor	36	240	DONE	6.4	2026-06-22T11:01:57
sub-28	ses-02	Auditory	14	240	DONE	6.4	2026-06-22T11:01:57
sub-29	ses-01	Interoception	11	240	DONE	6.4	2026-06-22T11:02:04
sub-29	ses-01	Exteroception	14	240	DONE	6.4	2026-06-22T11:02:04
sub-29	ses-01	Cognition	12	240	DONE	6.4	2026-06-22T11:02:04
sub-29	ses-01	Visual	55	240	DONE	6.5	2026-06-22T11:02:04
sub-29	ses-01	Motor	36	240	DONE	6.5	2026-06-22T11:02:04
sub-29	ses-01	Auditory	14	240	DONE	6.5	2026-06-22T11:02:04
sub-29	ses-02	Interoception	11	240	DONE	6.2	2026-06-22T11:02:10
sub-29	ses-02	Exteroception	14	240	DONE	6.3	2026-06-22T11:02:10
sub-29	ses-02	Cognition	12	240	DONE	6.3	2026-06-22T11:02:10
sub-29	ses-02	Visual	55	240	DONE	6.3	2026-06-22T11:02:10
sub-29	ses-02	Motor	36	240	DONE	6.4	2026-06-22T11:02:10
sub-29	ses-02	Auditory	14	240	DONE	6.4	2026-06-22T11:02:10
sub-30	ses-01	Interoception	11	240	DONE	6.4	2026-06-22T11:02:17
sub-30	ses-01	Exteroception	14	240	DONE	6.4	2026-06-22T11:02:17
sub-30	ses-01	Cognition	12	240	DONE	6.4	2026-06-22T11:02:17
sub-30	ses-01	Visual	55	240	DONE	6.5	2026-06-22T11:02:17
sub-30	ses-01	Motor	36	240	DONE	6.5	2026-06-22T11:02:17
sub-30	ses-01	Auditory	14	240	DONE	6.5	2026-06-22T11:02:17
sub-30	ses-02	Interoception	11	240	DONE	6.5	2026-06-22T11:02:23
sub-30	ses-02	Exteroception	14	240	DONE	6.5	2026-06-22T11:02:23
sub-30	ses-02	Cognition	12	240	DONE	6.5	2026-06-22T11:02:23
sub-30	ses-02	Visual	55	240	DONE	6.5	2026-06-22T11:02:23
sub-30	ses-02	Motor	36	240	DONE	6.6	2026-06-22T11:02:23
sub-30	ses-02	Auditory	14	240	DONE	6.6	2026-06-22T11:02:23
sub-31	ses-01	Interoception	11	240	DONE	6.0	2026-06-22T11:02:29
sub-31	ses-01	Exteroception	14	240	DONE	6.1	2026-06-22T11:02:29
sub-31	ses-01	Cognition	12	240	DONE	6.1	2026-06-22T11:02:29
