"roi_pos_id","roi_name","self_layer","n_obs","term","estimate","SE","p_value","status","message","p_fdr"
5,"L_V3_ROI","somatomotor",70,"groupverum:sessionses-02",0.132053796621246,0.230256936085455,0.570190086700583,"ok",NA,0.972893382150734
6,"L_V4_ROI","somatomotor",70,"groupverum:sessionses-02",0.136511349877812,0.224521893311812,0.54734348897925,"ok",NA,0.972893382150734
7,"L_V8_ROI","somatomotor",70,"groupverum:sessionses-02",0.210892837900449,0.202335891537168,0.304852885572504,"ok",NA,0.972893382150734
8,"L_4_ROI","somatomotor",70,"groupverum:sessionses-02",-0.0280580573254367,0.169127607495425,0.869248876332923,"ok",NA,0.972893382150734
9,"L_3b_ROI","somatomotor",70,"groupverum:sessionses-02",0.268465482631807,0.185573823668947,0.157419872012502,"ok",NA,0.972893382150734
13,"L_V3A_ROI","somatomotor",70,"groupverum:sessionses-02",0.0233318131419055,0.188113540288316,0.90204355457595,"ok",NA,0.972893382150734
16,"L_V7_ROI","somatomotor",70,"groupverum:sessionses-02",0.262529865800898,0.20318887301354,0.205315737940469,"ok",NA,0.972893382150734
17,"L_IPS1_ROI","somatomotor",70,"groupverum:sessionses-02",-0.0339317039690104,0.178528531984486,0.850423947852003,"ok",NA,0.972893382150734
19,"L_V3B_ROI","somatomotor",70,"groupverum:sessionses-02",0.0470484571941058,0.180384230654335,0.795849378822039,"ok",NA,0.972893382150734
20,"L_LO1_ROI","somatomotor",70,"groupverum:sessionses-02",-0.0566063062728851,0.184255945749754,0.760609674676865,"ok",NA,0.972893382150734
23,"L_MT_ROI","somatomotor",70,"groupverum:sessionses-02",-0.106754959950748,0.222037769234706,0.633833624646643,"ok",NA,0.972893382150734
24,"L_A1_ROI","somatomotor",70,"groupverum:sessionses-02",-0.167418306664076,0.190922224247917,0.386884118524937,"ok",NA,0.972893382150734
36,"L_5m_ROI","somatomotor",70,"groupverum:sessionses-02",0.0984767846574682,0.162955581743032,0.549765645870183,"ok",NA,0.972893382150734
39,"L_5L_ROI","somatomotor",70,"groupverum:sessionses-02",-0.167783114115345,0.152922358132138,0.280505259988687,"ok",NA,0.972893382150734
41,"L_24dv_ROI","somatomotor",70,"groupverum:sessionses-02",0.17929850739013,0.121582686179719,0.149769413883028,"ok",NA,0.972893382150734
42,"L_7AL_ROI","somatomotor",70,"groupverum:sessionses-02",0.0162091200408409,0.125966952759129,0.898393839960687,"ok",NA,0.972893382150734
47,"L_7PC_ROI","somatomotor",70,"groupverum:sessionses-02",0.0329172139460556,0.130284762778693,0.802101316173714,"ok",NA,0.972893382150734
48,"L_LIPv_ROI","somatomotor",70,"groupverum:sessionses-02",0.154053244988529,0.111094703530524,0.174835112481531,"ok",NA,0.972893382150734
49,"L_VIP_ROI","somatomotor",70,"groupverum:sessionses-02",-0.089798166424146,0.128154871079902,0.488401511344415,"ok",NA,0.972893382150734
51,"L_1_ROI","somatomotor",70,"groupverum:sessionses-02",-0.0513866597806369,0.145350946365606,0.725936011496068,"ok",NA,0.972893382150734
52,"L_2_ROI","somatomotor",70,"groupverum:sessionses-02",-0.19483720876174,0.112306304193072,0.0920956792338273,"ok",NA,0.97054677346418
54,"L_6d_ROI","somatomotor",70,"groupverum:sessionses-02",-0.121201982983043,0.127274229082843,0.347873335316558,"ok",NA,0.972893382150734
55,"L_6mp_ROI","somatomotor",70,"groupverum:sessionses-02",-0.0404731845801002,0.136715655047472,0.769055213168055,"ok",NA,0.972893382150734
56,"L_6v_ROI","somatomotor",70,"groupverum:sessionses-02",0.104611013490014,0.136211833985099,0.447946834263303,"ok",NA,0.972893382150734
100,"L_OP4_ROI","somatomotor",70,"groupverum:sessionses-02",-0.00561041062820189,0.210753313440546,0.97892256077037,"ok",NA,0.986120520776035
101,"L_OP1_ROI","somatomotor",70,"groupverum:sessionses-02",0.18484709089531,0.129271923846307,0.162143283556335,"ok",NA,0.972893382150734
102,"L_OP2-3_ROI","somatomotor",70,"groupverum:sessionses-02",0.0535017945930363,0.142451219325304,0.709632836510689,"ok",NA,0.972893382150734
103,"L_52_ROI","somatomotor",70,"groupverum:sessionses-02",0.136917369938994,0.317547978782814,0.669147912159594,"ok",NA,0.972893382150734
104,"L_RI_ROI","somatomotor",70,"groupverum:sessionses-02",-0.0870356711466269,0.202790959317563,0.670574729348227,"ok",NA,0.972893382150734
107,"L_TA2_ROI","somatomotor",70,"groupverum:sessionses-02",0.0814125893216887,0.192981733370117,0.6758579200645,"ok",NA,0.972893382150734
115,"L_FOP2_ROI","somatomotor",70,"groupverum:sessionses-02",0.196240051890624,0.192182416574729,0.314628525636105,"ok",NA,0.972893382150734
121,"L_ProS_ROI","somatomotor",70,"groupverum:sessionses-02",-0.117390830698182,0.319567850865413,0.715709000897621,"ok",NA,0.972893382150734
124,"L_PBelt_ROI","somatomotor",70,"groupverum:sessionses-02",-0.121523615898646,0.172706365363114,0.486590648899693,"ok",NA,0.972893382150734
142,"L_DVT_ROI","somatomotor",70,"groupverum:sessionses-02",0.111951738078253,0.224686807667426,0.621607694714113,"ok",NA,0.972893382150734
152,"L_V6A_ROI","somatomotor",70,"groupverum:sessionses-02",0.463418835153317,0.231800618432612,0.0538753952262705,"ok",NA,0.97054677346418
153,"L_VMV1_ROI","somatomotor",70,"groupverum:sessionses-02",-0.0621993190495187,0.175186156560703,0.724813614048571,"ok",NA,0.972893382150734
154,"L_VMV3_ROI","somatomotor",70,"groupverum:sessionses-02",-0.0508278110722452,0.200106192994982,0.801068342596523,"ok",NA,0.972893382150734
156,"L_V4t_ROI","somatomotor",70,"groupverum:sessionses-02",-0.0829064906291857,0.202951290299987,0.68554221242462,"ok",NA,0.972893382150734
157,"L_FST_ROI","somatomotor",70,"groupverum:sessionses-02",0.142098036772821,0.217193225247174,0.517486570309679,"ok",NA,0.972893382150734
158,"L_V3CD_ROI","somatomotor",70,"groupverum:sessionses-02",-0.0360528498200808,0.190945552461896,0.85139643326202,"ok",NA,0.972893382150734
160,"L_VMV2_ROI","somatomotor",70,"groupverum:sessionses-02",-0.0113573586209449,0.221624597638179,0.959438498153932,"ok",NA,0.980918464530512
163,"L_VVC_ROI","somatomotor",70,"groupverum:sessionses-02",0.0668262164920857,0.155011708570063,0.669195659892375,"ok",NA,0.972893382150734
168,"L_Ig_ROI","somatomotor",70,"groupverum:sessionses-02",0.0976257334508933,0.163117196332485,0.55359219259584,"ok",NA,0.972893382150734
173,"L_MBelt_ROI","somatomotor",70,"groupverum:sessionses-02",0.00783728134601949,0.230280155234106,0.973055321503464,"ok",NA,0.986120520776035
174,"L_LBelt_ROI","somatomotor",70,"groupverum:sessionses-02",0.110211664402726,0.195559084201259,0.57685525569765,"ok",NA,0.972893382150734
175,"L_A4_ROI","somatomotor",70,"groupverum:sessionses-02",-0.0781141980827246,0.168531577855472,0.646049472544765,"ok",NA,0.972893382150734
181,"R_V1_ROI","somatomotor",70,"groupverum:sessionses-02",0.0182752366921345,0.255802450299126,0.943476600239033,"ok",NA,0.979214350248087
182,"R_MST_ROI","somatomotor",70,"groupverum:sessionses-02",0.0355831235201753,0.190546308162964,0.853005746912655,"ok",NA,0.972893382150734
183,"R_V6_ROI","somatomotor",70,"groupverum:sessionses-02",-0.122851948228524,0.251734992253607,0.628761991094137,"ok",NA,0.972893382150734
184,"R_V2_ROI","somatomotor",70,"groupverum:sessionses-02",0.14675826402849,0.222958048526457,0.514954869339897,"ok",NA,0.972893382150734
185,"R_V3_ROI","somatomotor",70,"groupverum:sessionses-02",-0.115503150679643,0.19444505798501,0.556553047066432,"ok",NA,0.972893382150734
186,"R_V4_ROI","somatomotor",70,"groupverum:sessionses-02",0.195850876972919,0.198150160732155,0.330150740837162,"ok",NA,0.972893382150734
187,"R_V8_ROI","somatomotor",70,"groupverum:sessionses-02",0.236322978786686,0.221078020917975,0.292846071827124,"ok",NA,0.972893382150734
188,"R_4_ROI","somatomotor",70,"groupverum:sessionses-02",-0.121116822946327,0.170241086967148,0.481808924128198,"ok",NA,0.972893382150734
189,"R_3b_ROI","somatomotor",70,"groupverum:sessionses-02",0.017586196640353,0.20434929556378,0.931939172252238,"ok",NA,0.979214350248087
193,"R_V3A_ROI","somatomotor",70,"groupverum:sessionses-02",0.075989938369968,0.148862365911551,0.613119366997688,"ok",NA,0.972893382150734
196,"R_V7_ROI","somatomotor",70,"groupverum:sessionses-02",0.0390784725920637,0.183823607953215,0.83295701132054,"ok",NA,0.972893382150734
198,"R_FFC_ROI","somatomotor",70,"groupverum:sessionses-02",0.00814111656661533,0.135353175217686,0.95240117155292,"ok",NA,0.980918464530512
199,"R_V3B_ROI","somatomotor",70,"groupverum:sessionses-02",-0.0711817933443774,0.16684868896069,0.672422991657528,"ok",NA,0.972893382150734
201,"R_LO2_ROI","somatomotor",70,"groupverum:sessionses-02",-0.0472007606707663,0.202788167050388,0.817386220916551,"ok",NA,0.972893382150734
202,"R_PIT_ROI","somatomotor",70,"groupverum:sessionses-02",0.306682360032065,0.23474440305498,0.200431350477265,"ok",NA,0.972893382150734
203,"R_MT_ROI","somatomotor",70,"groupverum:sessionses-02",-0.0315413391596261,0.145400756353479,0.829600862091511,"ok",NA,0.972893382150734
204,"R_A1_ROI","somatomotor",70,"groupverum:sessionses-02",0.248749712723143,0.168462164207601,0.1492652408072,"ok",NA,0.972893382150734
216,"R_5m_ROI","somatomotor",70,"groupverum:sessionses-02",0.144170581014191,0.157984695379099,0.368092749516769,"ok",NA,0.972893382150734
219,"R_5L_ROI","somatomotor",70,"groupverum:sessionses-02",0.0837142732154419,0.14593917395502,0.570111050375495,"ok",NA,0.972893382150734
220,"R_24dd_ROI","somatomotor",70,"groupverum:sessionses-02",0.0792588169220228,0.190182507017286,0.679558788886573,"ok",NA,0.972893382150734
221,"R_24dv_ROI","somatomotor",70,"groupverum:sessionses-02",0.131543509291601,0.133008098223586,0.329865116477945,"ok",NA,0.972893382150734
222,"R_7AL_ROI","somatomotor",70,"groupverum:sessionses-02",-0.0605787088262538,0.162336313039568,0.711409901419594,"ok",NA,0.972893382150734
229,"R_VIP_ROI","somatomotor",70,"groupverum:sessionses-02",0.0387849259487826,0.150784732602757,0.798605670856564,"ok",NA,0.972893382150734
231,"R_1_ROI","somatomotor",70,"groupverum:sessionses-02",-0.210325408060336,0.154606320713642,0.182926097029282,"ok",NA,0.972893382150734
232,"R_2_ROI","somatomotor",70,"groupverum:sessionses-02",0.0202625888834459,0.130385304175607,0.877448381320659,"ok",NA,0.972893382150734
233,"R_3a_ROI","somatomotor",70,"groupverum:sessionses-02",0.0453967731373181,0.12126453074438,0.710530256253575,"ok",NA,0.972893382150734
234,"R_6d_ROI","somatomotor",70,"groupverum:sessionses-02",0.050917589292311,0.154815957470182,0.744316193872673,"ok",NA,0.972893382150734
235,"R_6mp_ROI","somatomotor",70,"groupverum:sessionses-02",-0.111943395722581,0.12503743939318,0.377122050343808,"ok",NA,0.972893382150734
236,"R_6v_ROI","somatomotor",70,"groupverum:sessionses-02",-0.0286100492099683,0.149280058753145,0.84918802666161,"ok",NA,0.972893382150734
280,"R_OP4_ROI","somatomotor",70,"groupverum:sessionses-02",-0.212834320460068,0.209360755692872,0.316743634336317,"ok",NA,0.972893382150734
281,"R_OP1_ROI","somatomotor",70,"groupverum:sessionses-02",-0.126393493239708,0.193761112049905,0.518715598228846,"ok",NA,0.972893382150734
282,"R_OP2-3_ROI","somatomotor",70,"groupverum:sessionses-02",-0.190527428519586,0.190745437845487,0.325132276056885,"ok",NA,0.972893382150734
283,"R_52_ROI","somatomotor",69,"groupverum:sessionses-02",0.0357814693470775,0.238469688801986,0.881748580623685,"ok",NA,0.972893382150734
284,"R_RI_ROI","somatomotor",70,"groupverum:sessionses-02",0.0765756089885417,0.195122065476302,0.69724936816278,"ok",NA,0.972893382150734
295,"R_FOP2_ROI","somatomotor",70,"groupverum:sessionses-02",0.179267931913398,0.202395978339843,0.382172728244471,"ok",NA,0.972893382150734
301,"R_ProS_ROI","somatomotor",69,"groupverum:sessionses-02",0.0706752245396677,0.284302719942095,0.805256979336706,"ok",NA,0.972893382150734
304,"R_PBelt_ROI","somatomotor",70,"groupverum:sessionses-02",-0.137836011830888,0.200164592158158,0.495879603535203,"ok",NA,0.972893382150734
322,"R_DVT_ROI","somatomotor",70,"groupverum:sessionses-02",-0.160581605184137,0.228397007846582,0.486936155591121,"ok",NA,0.972893382150734
332,"R_V6A_ROI","somatomotor",70,"groupverum:sessionses-02",0.0140934737721251,0.173051504555908,0.935583259066395,"ok",NA,0.979214350248087
333,"R_VMV1_ROI","somatomotor",70,"groupverum:sessionses-02",-0.0398590429549072,0.183118618032775,0.829028210971899,"ok",NA,0.972893382150734
334,"R_VMV3_ROI","somatomotor",70,"groupverum:sessionses-02",0.297381723937207,0.155744166614371,0.0649334961507351,"ok",NA,0.97054677346418
336,"R_V4t_ROI","somatomotor",70,"groupverum:sessionses-02",0.0197644725900374,0.17155892774481,0.908980678213825,"ok",NA,0.972893382150734
337,"R_FST_ROI","somatomotor",70,"groupverum:sessionses-02",0.0788444509413132,0.179111579775749,0.662664049174034,"ok",NA,0.972893382150734
338,"R_V3CD_ROI","somatomotor",70,"groupverum:sessionses-02",0.204313405170696,0.16514235952526,0.224746245824755,"ok",NA,0.972893382150734
339,"R_LO3_ROI","somatomotor",70,"groupverum:sessionses-02",0.0995421554351984,0.188091290998239,0.600193294906592,"ok",NA,0.972893382150734
340,"R_VMV2_ROI","somatomotor",70,"groupverum:sessionses-02",0.0701526234754769,0.20919781880472,0.73949035552365,"ok",NA,0.972893382150734
343,"R_VVC_ROI","somatomotor",70,"groupverum:sessionses-02",0.102491871753653,0.151700520232751,0.503989366495839,"ok",NA,0.972893382150734
348,"R_Ig_ROI","somatomotor",70,"groupverum:sessionses-02",0.0275181511008638,0.158647428472732,0.863353604110746,"ok",NA,0.972893382150734
354,"R_LBelt_ROI","somatomotor",70,"groupverum:sessionses-02",-0.0499251472685339,0.187210669486921,0.791375754295309,"ok",NA,0.972893382150734
355,"R_A4_ROI","somatomotor",70,"groupverum:sessionses-02",-0.149190050108341,0.169501013261469,0.385131268359712,"ok",NA,0.972893382150734
