"region","value"
"intero",0.587518673272943
"intero",0.369488791703391
"intero",0.419871705148655
"intero",1.0107458416746
"intero",0.61271275098208
"intero",0.434723891594177
"intero",0.206111204169171
"intero",0.486579722490669
"intero",0.60434183016522
"intero",0.658936646885718
"intero",0.716691868626385
"intero",0.548026260367943
"intero",0.463476291132141
"intero",0.490141215306741
"intero",0.499769227862296
"intero",0.451617034959679
"intero",0.588118450608195
"intero",0.517819838473079
"intero",0.714835692485673
"intero",0.310331274365692
"intero",0.581389377856119
"intero",0.834266576367671
"intero",0.601991672101347
"intero",0.55208901439377
"intero",0.21606939128249
"intero",0.17054620862907
"intero",0.730597789181511
"intero",0.0975012322113325
"intero",0.55652739887712
"intero",0.79172850516528
"intero",0.324430299091575
"intero",0.516122711713316
"intero",0.846595244080477
"intero",0.534904439653516
"intero",0.690643429580496
"intero",0.605192765222801
"intero",0.795344298626828
"intero",0.37002082972411
"intero",0.50032087995887
"intero",0.141219808424117
"intero",0.674652043065676
"intero",0.317698236347653
"intero",0.881784635034273
"intero",0.313998715178101
"intero",0.376387056474751
"intero",0.717479539308842
"intero",0.394263595974169
"intero",0.266306439008333
"intero",0.550806498814372
"intero",0.287825864842133
"intero",0.717393993632269
"intero",0.648411453799292
"intero",0.890966562050485
"intero",0.506839676511426
"intero",0.747652184203828
"intero",0.627468732152412
"intero",0.652135571727954
"intero",0.383603842395884
"intero",0.697414841285036
"intero",0.519777742006821
"intero",0.261819794517959
"intero",0.526219364917409
"intero",0.989637871556697
"intero",0.872905829616014
"intero",0.225363388790626
"intero",0.292459024950989
"intero",0.448283214120466
"intero",0.597454095906126
"intero",0.437854026369957
"intero",0.359352956842416
"intero",0.507436384679004
"intero",0.734227537134196
"intero",0.675121471697033
"intero",0.55737746875039
"intero",0.231221098058359
"intero",0.239236890792255
"intero",0.42982629917108
"intero",0.479569206328874
"intero",0.542368585779367
"intero",0.60847439279112
"intero",0.857277454274998
"intero",0.30584286807042
"intero",0.59666096864812
"intero",0.713906031828462
"intero",0.553724832607611
"intero",0.954126083954992
"intero",0.650380312918692
"intero",0.804450946901762
"intero",0.303648058322869
"intero",0.349112398655942
"intero",0.527958727647246
"intero",0.44241279479223
"intero",0.536637093476113
"intero",0.665158676660859
"intero",0.661156575171202
"intero",0.686643044508512
"intero",0.461316283091949
"intero",0.933078298377874
"intero",0.319267446663443
"intero",0.549826627701984
"intero",0.137381265751985
"intero",0.301628819830083
"intero",0.499938738224499
"intero",0.279434080314561
"intero",0.565028187867023
"intero",0.60402057366244
"intero",0.25146646541205
"intero",0.507134335568427
"intero",0.377805104244249
"intero",0.466706897642378
"intero",0.466394536182897
"intero",0.653508828341306
"intero",0.105004656463502
"intero",0.331095827077353
"intero",0.963561132029828
"intero",0.544108170922212
"intero",0.2404486920461
"intero",0.587206662600283
"intero",0.574563244296356
"intero",0.480604666641425
"intero",0.218575150306615
"intero",0.634501498986241
"intero",0.802833057737568
"intero",0.729989180352948
"intero",0.241185850034697
"intero",0.239397477093522
"intero",0.428953551644262
"intero",0.608865023492628
"intero",0.949868595658087
"intero",0.679513031164258
"intero",0.389618386648153
"intero",0.230492272199344
"intero",0.0439454024360391
"intero",0.406326767859017
"intero",0.533278198056813
"intero",0.611872001153114
"intero",0.200479119133907
"intero",0.406252064709523
"intero",0.733499339039582
"intero",0.671046594520065
"intero",0.372637597326394
"intero",0.288672570349463
"intero",0.73283800771696
"intero",0.53462438980489
"intero",0.639020300838924
"intero",0.713580627712549
"intero",0.781238490987802
"intero",0.520945189772371
"intero",0.45485844039139
"intero",0.303097071529608
"intero",0.621697967554994
"intero",0.596672048146699
"intero",0.394286085144699
"intero",0.682266263549614
"intero",0.493537193688519
"intero",0.341741501184719
"intero",0.202195956041975
"intero",0.477987693086127
"intero",0.614167031463096
"intero",0.697705624202908
"intero",0.603044897282432
"intero",0.401810175931069
"intero",0.667333068304833
"intero",0.589808779151694
"intero",-0.00849004110631964
"intero",0.280542188562128
"intero",0.366936055432312
"intero",0.315440400471609
"intero",0.582223493784572
"intero",0.507972290069504
"intero",0.533151102165635
"intero",0.456142976807763
"intero",0.785801059751358
"intero",0.803002199981882
"intero",0.737079237336369
"intero",0.182900599299746
"intero",0.715996739624494
"intero",0.354146343963752
"intero",0.513754799723743
"intero",0.462364092815535
