roi_id	roi_name	x	y	z	n_voxels
246	L_47m_ROI	-33.0	33.0	-16.0	257
247	L_8Av_ROI	-40.0	18.0	49.0	257
250	L_8BL_ROI	-13.0	38.0	52.0	257
251	L_9p_ROI	-20.0	48.0	36.0	257
252	L_10d_ROI	-10.0	66.0	6.0	257
253	L_8C_ROI	-40.0	16.0	35.0	257
254	L_44_ROI	-53.0	19.0	10.0	257
255	L_45_ROI	-50.0	27.0	2.0	257
256	L_47l_ROI	-46.0	33.0	-13.0	257
257	L_a47r_ROI	-39.0	52.0	-8.0	257
259	L_IFJa_ROI	-45.0	17.0	25.0	257
260	L_IFJp_ROI	-38.0	8.0	27.0	257
261	L_IFSp_ROI	-49.0	28.0	19.0	257
262	L_IFSa_ROI	-49.0	37.0	6.0	257
263	L_p9-46v_ROI	-46.0	31.0	28.0	257
264	L_46_ROI	-37.0	39.0	30.0	257
265	L_a9-46v_ROI	-40.0	51.0	10.0	257
268	L_10v_ROI	-4.0	53.0	-16.0	257
269	L_a10p_ROI	-26.0	61.0	-8.0	257
270	L_10pp_ROI	-14.0	62.0	-16.0	257
271	L_11l_ROI	-26.0	48.0	-16.0	257
272	L_13l_ROI	-22.0	29.0	-18.0	257
273	L_OFC_ROI	-9.0	34.0	-24.0	257
274	L_47s_ROI	-31.0	23.0	-19.0	257
275	L_LIPd_ROI	-29.0	-52.0	43.0	257
276	L_6a_ROI	-27.0	-2.0	53.0	257
277	L_i6-8_ROI	-34.0	9.0	58.0	257
278	L_s6-8_ROI	-21.0	18.0	60.0	257
280	L_OP4_ROI	-58.0	-12.0	15.0	257
281	L_OP1_ROI	-43.0	-19.0	19.0	255
282	L_OP2-3_ROI	-39.1	-13.1	18.4	225
283	L_52_ROI	-39.0	-19.0	0.0	257
284	L_RI_ROI	-41.0	-30.0	19.0	257
285	L_PFcm_ROI	-49.0	-28.0	22.0	257
287	L_TA2_ROI	-51.0	1.0	-6.0	257
288	L_FOP4_ROI	-38.0	14.0	8.1	245
289	L_MI_ROI	-37.0	12.0	2.0	257
290	L_Pir_ROI	-32.0	8.0	-19.0	257
293	L_FOP1_ROI	-47.0	4.0	6.0	257
294	L_FOP3_ROI	-34.0	8.0	12.0	257
295	L_FOP2_ROI	-40.0	-2.0	15.0	257
296	L_PFt_ROI	-56.0	-22.0	40.0	257
298	L_EC_ROI	-21.0	-12.0	-29.0	257
299	L_PreS_ROI	-17.0	-33.0	-11.0	257
300	L_H_ROI	-26.0	-21.0	-18.0	257
301	L_ProS_ROI	-22.0	-50.0	3.0	257
303	L_STGa_ROI	-51.0	15.0	-18.0	257
304	L_PBelt_ROI	-57.0	-18.0	8.0	257
305	L_A5_ROI	-63.0	-14.0	-3.0	257
306	L_PHA1_ROI	-23.0	-35.0	-16.0	257
307	L_PHA3_ROI	-34.6	-37.4	-15.4	185
308	L_STSda_ROI	-53.0	-2.0	-15.0	257
309	L_STSdp_ROI	-50.0	-27.0	-2.0	257
310	L_STSvp_ROI	-58.0	-30.0	-5.0	257
311	L_TGd_ROI	-38.0	14.0	-35.0	257
313	L_TE1p_ROI	-62.0	-43.0	-13.0	257
314	L_TE2a_ROI	-55.0	-17.0	-30.0	257
315	L_TF_ROI	-41.0	-21.0	-29.0	257
316	L_TE2p_ROI	-48.0	-39.0	-21.0	257
317	L_PHT_ROI	-60.0	-55.0	-4.0	257
319	L_TPOJ1_ROI	-54.0	-42.0	10.0	257
320	L_TPOJ2_ROI	-54.0	-57.0	8.0	257
321	L_TPOJ3_ROI	-44.0	-63.0	16.0	257
322	L_DVT_ROI	-21.0	-69.0	32.0	257
323	L_PGp_ROI	-42.0	-79.0	26.0	257
