Spatial overlap report
Self atlas : /BICNAS2/group-northoff/jkokino/codes/har_med_codes/02_timeseries_extraction/results/atlases/self_atlas_1mm.nii.gz
Radius     : 4.0mm
Checked    : 327
Removed    : 11
Clean      : 316

REMOVED:
157	R_FST_ROI	48.15	-68.29	2.15
158	R_V3CD_ROI	36.46	-88.08	12.49
159	R_LO3_ROI	46.59	-80.23	12.49
160	R_VMV2_ROI	28.31	-55.90	-5.92
161	R_31pd_ROI	10.03	-53.03	35.88
162	R_31a_ROI	5.24	-38.27	42.83
163	R_VVC_ROI	31.75	-53.22	-17.34
164	R_25_ROI	5.50	24.39	-13.68
165	R_s32_ROI	8.62	35.68	-14.15
166	R_pOFC_ROI	14.36	13.66	-20.57
167	R_PoI1_ROI	38.62	-10.79	-3.88
168	R_Ig_ROI	36.14	-14.97	14.26
169	R_FOP5_ROI	36.03	26.82	5.00
170	R_p10p_ROI	25.15	61.00	5.12
171	R_p47r_ROI	45.75	42.96	0.83
172	R_TGv_ROI	40.74	-2.30	-44.38
173	R_MBelt_ROI	45.45	-16.69	3.60
174	R_LBelt_ROI	45.41	-27.38	8.48
175	R_A4_ROI	64.05	-22.61	9.08
176	R_STSva_ROI	52.24	-9.85	-15.69
177	R_TE1m_ROI	64.98	-26.75	-14.75
178	R_PI_ROI	44.60	-2.96	-14.51
179	R_a32pr_ROI	9.65	29.02	28.54
180	R_p24_ROI	5.80	36.74	15.48
181	L_V1_ROI	-11.92	-81.85	4.19
182	L_MST_ROI	-42.79	-64.94	4.14
183	L_V6_ROI	-17.52	-76.90	31.24
184	L_V2_ROI	-12.27	-79.45	6.25
185	L_V3_ROI	-19.62	-86.35	8.28
186	L_V4_ROI	-29.75	-84.26	-0.85
187	L_V8_ROI	-29.93	-73.36	-12.85
188	L_4_ROI	-27.69	-17.84	57.37
190	L_FEF_ROI	-43.83	-1.75	51.62
191	L_PEF_ROI	-46.14	3.10	36.42
192	L_55b_ROI	-49.37	2.19	47.01
193	L_V3A_ROI	-18.32	-88.18	31.82
194	L_RSC_ROI	-5.77	-36.79	21.18
195	L_POS2_ROI	-12.57	-70.29	39.66
196	L_V7_ROI	-28.40	-82.50	33.75
197	L_IPS1_ROI	-26.91	-71.12	39.43
198	L_FFC_ROI	-40.32	-54.34	-19.48
199	L_V3B_ROI	-29.54	-76.09	21.61
200	L_LO1_ROI	-37.91	-80.45	4.00
201	L_LO2_ROI	-44.43	-84.47	-1.20
202	L_PIT_ROI	-41.80	-81.02	-12.60
203	L_MT_ROI	-49.89	-70.39	7.74
204	L_A1_ROI	-42.88	-20.54	10.60
205	L_PSL_ROI	-63.47	-36.06	25.44
206	L_SFL_ROI	-8.34	13.55	66.01
207	L_PCV_ROI	-6.19	-52.82	52.15
208	L_STV_ROI	-59.81	-42.81	18.50
209	L_7Pm_ROI	-6.71	-67.45	54.50
210	L_7m_ROI	-4.76	-63.07	36.97
211	L_POS1_ROI	-13.78	-56.60	17.58
213	L_v23ab_ROI	-4.67	-55.12	19.72
215	L_31pv_ROI	-10.73	-43.98	33.85
216	L_5m_ROI	-6.03	-39.04	65.48
217	L_5mv_ROI	-13.04	-39.11	53.78
218	L_23c_ROI	-11.44	-32.87	44.05
219	L_5L_ROI	-14.09	-45.48	74.25
221	L_24dv_ROI	-9.74	-4.38	46.11
222	L_7AL_ROI	-22.26	-50.57	68.25
223	L_SCEF_ROI	-6.87	2.38	59.11
224	L_6ma_ROI	-19.03	2.77	67.59
225	L_7Am_ROI	-10.26	-58.74	64.42
226	L_7PL_ROI	-15.81	-70.81	59.64
227	L_7PC_ROI	-35.28	-47.42	62.75
228	L_LIPv_ROI	-27.81	-55.67	53.91
229	L_VIP_ROI	-23.15	-61.92	64.46
231	L_1_ROI	-46.27	-22.10	56.36
232	L_2_ROI	-36.88	-30.86	52.76
233	L_3a_ROI	-31.72	-20.44	47.05
234	L_6d_ROI	-36.76	-11.65	64.41
235	L_6mp_ROI	-16.85	-12.16	68.55
236	L_6v_ROI	-59.12	6.28	30.46
237	L_p24pr_ROI	-4.72	-4.41	40.30
238	L_33pr_ROI	-3.85	11.13	27.93
239	L_a24pr_ROI	-4.71	17.27	33.11
240	L_p32pr_ROI	-10.33	11.90	40.42
242	L_d32_ROI	-8.43	37.77	27.50
243	L_8BM_ROI	-5.87	27.13	47.59
245	L_10r_ROI	-6.91	50.78	-9.64
246	L_47m_ROI	-33.33	33.25	-15.79
247	L_8Av_ROI	-40.22	18.40	48.52
250	L_8BL_ROI	-13.10	37.77	51.71
251	L_9p_ROI	-19.88	48.28	35.53
252	L_10d_ROI	-9.82	66.47	5.70
253	L_8C_ROI	-39.69	15.96	35.24
254	L_44_ROI	-52.91	19.31	10.22
255	L_45_ROI	-50.22	27.00	2.34
256	L_47l_ROI	-45.73	32.92	-13.40
257	L_a47r_ROI	-38.63	51.98	-8.11
259	L_IFJa_ROI	-44.77	16.85	25.06
260	L_IFJp_ROI	-38.17	7.61	27.03
261	L_IFSp_ROI	-48.95	28.08	19.06
262	L_IFSa_ROI	-48.61	37.37	5.56
263	L_p9-46v_ROI	-45.98	31.22	27.80
264	L_46_ROI	-36.81	38.60	30.35
265	L_a9-46v_ROI	-39.97	51.33	9.76
268	L_10v_ROI	-4.16	53.49	-16.40
269	L_a10p_ROI	-25.56	61.04	-8.08
270	L_10pp_ROI	-13.51	61.90	-15.84
271	L_11l_ROI	-25.57	47.54	-15.71
272	L_13l_ROI	-21.54	29.27	-18.03
273	L_OFC_ROI	-8.95	34.11	-24.21
274	L_47s_ROI	-31.41	22.99	-19.34
275	L_LIPd_ROI	-29.10	-52.41	43.05
276	L_6a_ROI	-27.26	-1.83	53.24
277	L_i6-8_ROI	-34.27	8.66	58.46
278	L_s6-8_ROI	-21.48	17.96	59.61
280	L_OP4_ROI	-57.89	-11.98	15.21
281	L_OP1_ROI	-43.48	-19.43	19.49
282	L_OP2-3_ROI	-38.73	-13.13	18.24
283	L_52_ROI	-38.94	-19.26	0.49
284	L_RI_ROI	-40.94	-30.29	18.96
285	L_PFcm_ROI	-48.82	-27.67	22.34
287	L_TA2_ROI	-50.98	1.40	-5.75
288	L_FOP4_ROI	-38.22	14.32	7.74
289	L_MI_ROI	-36.57	12.07	1.79
290	L_Pir_ROI	-31.90	7.76	-18.97
293	L_FOP1_ROI	-46.99	3.90	5.73
294	L_FOP3_ROI	-34.32	7.85	11.55
295	L_FOP2_ROI	-40.47	-1.95	15.28
296	L_PFt_ROI	-55.55	-21.69	39.79
298	L_EC_ROI	-20.58	-12.47	-29.46
299	L_PreS_ROI	-16.88	-32.88	-11.37
300	L_H_ROI	-26.46	-20.76	-18.10
301	L_ProS_ROI	-21.64	-49.60	2.88
303	L_STGa_ROI	-50.59	14.71	-17.77
304	L_PBelt_ROI	-56.69	-18.37	8.15
305	L_A5_ROI	-62.76	-13.82	-2.65
306	L_PHA1_ROI	-22.70	-34.83	-16.02
307	L_PHA3_ROI	-33.87	-36.89	-15.22
308	L_STSda_ROI	-52.72	-1.90	-14.56
309	L_STSdp_ROI	-49.62	-26.99	-1.75
310	L_STSvp_ROI	-57.96	-30.02	-4.54
311	L_TGd_ROI	-38.06	13.77	-35.23
313	L_TE1p_ROI	-61.62	-42.57	-12.65
314	L_TE2a_ROI	-55.22	-17.07	-30.43
315	L_TF_ROI	-41.32	-21.12	-29.02
316	L_TE2p_ROI	-48.05	-39.27	-20.53
317	L_PHT_ROI	-59.66	-55.32	-3.78
319	L_TPOJ1_ROI	-54.49	-42.21	10.16
320	L_TPOJ2_ROI	-53.53	-57.47	7.89
321	L_TPOJ3_ROI	-43.96	-62.87	16.36
322	L_DVT_ROI	-21.22	-68.65	32.36
323	L_PGp_ROI	-42.26	-78.78	26.47
324	L_IP2_ROI	-42.57	-43.81	44.95
325	L_IP1_ROI	-35.33	-64.23	45.45
326	L_IP0_ROI	-33.85	-72.14	30.60
327	L_PFop_ROI	-62.31	-18.61	25.72
