parcel_id	parcel_name	hemisphere
179	L_a32pr	L
180	L_p24	L
181	R_V1	R
182	R_MST	R
183	R_V6	R
184	R_V2	R
185	R_V3	R
186	R_V4	R
187	R_V8	R
188	R_4	R
189	R_3b	R
190	R_FEF	R
191	R_PEF	R
192	R_55b	R
193	R_V3A	R
194	R_RSC	R
195	R_POS2	R
196	R_V7	R
198	R_FFC	R
199	R_V3B	R
201	R_LO2	R
202	R_PIT	R
203	R_MT	R
204	R_A1	R
205	R_PSL	R
206	R_SFL	R
207	R_PCV	R
208	R_STV	R
209	R_7Pm	R
210	R_7m	R
211	R_POS1	R
212	R_23d	R
213	R_v23ab	R
214	R_d23ab	R
215	R_31pv	R
216	R_5m	R
217	R_5mv	R
218	R_23c	R
219	R_5L	R
220	R_24dd	R
221	R_24dv	R
222	R_7AL	R
223	R_SCEF	R
224	R_6ma	R
225	R_7Am	R
226	R_7PL	R
229	R_VIP	R
230	R_MIP	R
231	R_1	R
232	R_2	R
233	R_3a	R
234	R_6d	R
235	R_6mp	R
236	R_6v	R
238	R_33pr	R
239	R_a24pr	R
240	R_p32pr	R
241	R_a24	R
242	R_d32	R
244	R_p32	R
245	R_10r	R
246	R_47m	R
247	R_8Av	R
248	R_8Ad	R
249	R_9m	R
250	R_8BL	R
251	R_9p	R
252	R_10d	R
253	R_8C	R
254	R_44	R
255	R_45	R
256	R_47l	R
257	R_a47r	R
259	R_IFJa	R
261	R_IFSp	R
263	R_p9-46v	R
264	R_46	R
265	R_a9-46v	R
266	R_9-46d	R
267	R_9a	R
268	R_10v	R
269	R_a10p	R
270	R_10pp	R
271	R_11l	R
272	R_13l	R
273	R_OFC	R
274	R_47s	R
275	R_LIPd	R
276	R_6a	R
277	R_i6-8	R
278	R_s6-8	R
279	R_43	R
280	R_OP4	R
281	R_OP1	R
282	R_OP2-3	R
283	R_52	R
284	R_RI	R
286	R_PoI2	R
290	R_Pir	R
291	R_AVI	R
292	R_AAIC	R
293	R_FOP1	R
294	R_FOP3	R
295	R_FOP2	R
297	R_AIP	R
298	R_EC	R
299	R_PreS	R
301	R_ProS	R
302	R_PeEc	R
303	R_STGa	R
304	R_PBelt	R
305	R_A5	R
306	R_PHA1	R
307	R_PHA3	R
308	R_STSda	R
309	R_STSdp	R
310	R_STSvp	R
311	R_TGd	R
312	R_TE1a	R
313	R_TE1p	R
314	R_TE2a	R
315	R_TF	R
316	R_TE2p	R
317	R_PHT	R
319	R_TPOJ1	R
320	R_TPOJ2	R
321	R_TPOJ3	R
322	R_DVT	R
323	R_PGp	R
324	R_IP2	R
325	R_IP1	R
326	R_IP0	R
327	R_PFop	R
328	R_PF	R
329	R_PFm	R
331	R_PGs	R
332	R_V6A	R
333	R_VMV1	R
334	R_VMV3	R
335	R_PHA2	R
336	R_V4t	R
337	R_FST	R
338	R_V3CD	R
339	R_LO3	R
340	R_VMV2	R
341	R_31pd	R
342	R_31a	R
343	R_VVC	R
344	R_25	R
345	R_s32	R
346	R_pOFC	R
347	R_PoI1	R
348	R_Ig	R
349	R_FOP5	R
350	R_p10p	R
351	R_p47r	R
352	R_TGv	R
353	R_MBelt	R
354	R_LBelt	R
355	R_A4	R
356	R_STSva	R
357	R_TE1m	R
358	R_PI	R
359	R_a32pr	R
360	R_p24	R
