subject,session,atlas,roi_id,tau,spike
sub-20,ses-01,nonself,19,1.0,A
sub-20,ses-01,nonself,76,5.193702147200268,B
sub-20,ses-01,nonself,95,5.193702147200268,B
sub-20,ses-01,nonself,100,5.193702147200268,B
sub-20,ses-01,nonself,133,5.193702147200268,B
sub-20,ses-01,nonself,137,5.193702147200268,B
sub-20,ses-01,nonself,151,1.0,A
sub-20,ses-01,nonself,240,1.0,A
sub-20,ses-01,nonself,262,5.193702147200268,B
sub-20,ses-01,nonself,267,5.193702147200268,B
sub-20,ses-01,nonself,272,1.0,A
sub-20,ses-01,nonself,283,5.193702147200268,B
sub-20,ses-01,nonself,300,5.193702147200268,B
sub-20,ses-01,nonself,308,1.0,A
sub-20,ses-02,nonself,2,5.193702147200268,B
sub-20,ses-02,nonself,21,5.193702147200268,B
sub-20,ses-02,nonself,45,5.193702147200268,B
sub-20,ses-02,nonself,71,5.193702147200268,B
sub-20,ses-02,nonself,77,5.193702147200268,B
sub-20,ses-02,nonself,138,5.193702147200268,B
sub-20,ses-02,nonself,156,5.193702147200268,B
sub-20,ses-02,nonself,179,5.193702147200268,B
sub-20,ses-02,nonself,222,5.193702147200268,B
sub-20,ses-02,nonself,238,5.193702147200268,B
sub-20,ses-02,nonself,240,1.0,A
sub-20,ses-02,nonself,272,1.0,A
sub-20,ses-02,nonself,275,5.193702147200268,B
sub-20,ses-02,nonself,311,5.193702147200268,B
sub-21,ses-01,nonself,27,5.193702147200268,B
sub-21,ses-01,nonself,62,5.193702147200268,B
sub-21,ses-01,nonself,78,1.0,A
sub-21,ses-01,nonself,97,5.193702147200268,B
sub-21,ses-01,nonself,104,5.193702147200268,B
sub-21,ses-01,nonself,135,5.193702147200268,B
sub-21,ses-01,nonself,172,5.193702147200268,B
sub-21,ses-01,nonself,227,5.193702147200268,B
sub-21,ses-01,nonself,237,1.0,A
sub-21,ses-01,nonself,260,1.0,A
sub-21,ses-01,nonself,272,1.0,A
sub-21,ses-01,nonself,308,1.0,A
sub-21,ses-02,nonself,59,5.193702147200268,B
sub-21,ses-02,nonself,67,5.193702147200268,B
sub-21,ses-02,nonself,69,5.193702147200268,B
sub-21,ses-02,nonself,70,5.193702147200268,B
sub-21,ses-02,nonself,76,1.0,A
sub-21,ses-02,nonself,95,5.193702147200268,B
sub-21,ses-02,nonself,237,1.0,A
sub-21,ses-02,nonself,240,1.0,A
sub-21,ses-02,nonself,272,5.193702147200268,B
sub-21,ses-02,nonself,308,1.0,A
sub-22,ses-01,nonself,47,5.193702147200268,B
sub-22,ses-01,nonself,59,5.193702147200268,B
sub-22,ses-01,nonself,114,1.0,A
sub-22,ses-01,nonself,151,1.0,A
sub-22,ses-01,nonself,200,5.193702147200268,B
sub-22,ses-01,nonself,223,5.193702147200268,B
sub-22,ses-01,nonself,237,1.0,A
sub-22,ses-01,nonself,238,1.0,A
sub-22,ses-01,nonself,272,1.0,A
sub-22,ses-01,nonself,308,1.0,A
sub-22,ses-01,nonself,309,5.193702147200268,B
sub-22,ses-02,self,3,5.193702147200268,B
sub-22,ses-02,self,12,5.193702147200268,B
sub-22,ses-02,nonself,54,5.193702147200268,B
sub-22,ses-02,nonself,69,5.193702147200268,B
sub-22,ses-02,nonself,151,1.0,A
sub-22,ses-02,nonself,233,5.193702147200268,B
sub-22,ses-02,nonself,281,5.193702147200268,B
sub-22,ses-02,nonself,303,5.193702147200268,B
sub-22,ses-02,nonself,308,1.0,A
sub-23,ses-01,self,11,5.193702147200268,B
sub-23,ses-01,self,33,5.193702147200268,B
sub-23,ses-01,nonself,6,5.193702147200268,B
sub-23,ses-01,nonself,9,5.193702147200268,B
sub-23,ses-01,nonself,13,5.193702147200268,B
sub-23,ses-01,nonself,17,5.193702147200268,B
sub-23,ses-01,nonself,90,5.193702147200268,B
