atlas,roi_pos_id,roi_name,subgroup,placebo_change,verum_change,interaction
nonself,159,R_p24_ROI,Cingulo-Opercular,-0.0808206063048309,-0.07634116599003349,0.0044794403147974116
nonself,158,R_a32pr_ROI,Cingulo-Opercular,0.08045376951210281,0.07774239392696991,-0.0027113755851329024
nonself,42,R_7Am_ROI,Cingulo-Opercular,0.13622068554071287,0.11124764407942589,-0.024973041461286982
nonself,52,R_a24pr_ROI,Cingulo-Opercular,0.008179153307676934,-0.02855107030637427,-0.036730223614051205
nonself,23,R_PSL_ROI,Cingulo-Opercular,0.1191800786491597,0.07260426854018354,-0.04657581010897616
nonself,199,L_6ma_ROI,Cingulo-Opercular,0.002374398222022567,-0.051370089955248055,-0.05374448817727062
nonself,99,R_FOP3_ROI,Cingulo-Opercular,0.07406074657963169,0.0039067350173955795,-0.07015401156223611
nonself,198,L_SCEF_ROI,Cingulo-Opercular,0.07006442412682024,-0.006035504123762969,-0.0760999282505832
nonself,34,R_5mv_ROI,Cingulo-Opercular,0.2316941315252241,0.15491725861958816,-0.07677687290563595
nonself,316,L_p24_ROI,Cingulo-Opercular,0.10572727176113972,0.010759649175826613,-0.0949676225853131
nonself,93,R_PFcm_ROI,Cingulo-Opercular,0.15501630713369963,0.03436080836566635,-0.12065549876803328
nonself,94,R_PoI2_ROI,Cingulo-Opercular,0.16315116381606432,0.04173409354018531,-0.121417070275879
nonself,74,R_9-46d_ROI,Cingulo-Opercular,0.07439254768826586,-0.051159288010667936,-0.1255518356989338
nonself,200,L_7Am_ROI,Cingulo-Opercular,0.25088140064400255,0.09270539712465631,-0.15817600351934624
nonself,287,L_PF_ROI,Cingulo-Opercular,0.15352777066626144,-0.012628624541887845,-0.1661563952081493
nonself,87,R_43_ROI,Cingulo-Opercular,0.1940212767603695,0.0017881900365046555,-0.19223308672386485
nonself,35,R_23c_ROI,Cingulo-Opercular,0.14509823452073478,-0.10246832379740756,-0.24756655831814234
nonself,72,R_46_ROI,Cingulo-Opercular,0.19880854619642374,-0.055767330694703965,-0.2545758768911277
nonself,193,L_5mv_ROI,Cingulo-Opercular,0.21450965377786835,-0.0538237826114738,-0.26833343638934215
nonself,134,R_PHA2_ROI,Default,-0.0508371549990323,0.32582329498025286,0.37666044997928516
