nonself_pos_id,roi_name,G1,G1_z,glasser_row_index
263,L_ProS_ROI,-3.08563,-0.6277087088552532,301
265,L_PBelt_ROI,-3.49612,-0.7361133646045424,304
266,L_A5_ROI,-1.59143,-0.2331114309176956,305
268,L_PHA3_ROI,-0.846308,-0.03633515402612238,307
269,L_STSda_ROI,2.16619,0.7592233459018229,308
270,L_STSdp_ROI,2.72775,0.90752347131918,309
271,L_STSvp_ROI,6.09215,1.7960143573405416,310
273,L_TE1p_ROI,5.11563,1.5381291118234868,313
276,L_TE2p_ROI,-1.00506,-0.07825933222659298,316
277,L_PHT_ROI,0.107304,0.21550040975957568,317
278,L_TPOJ1_ROI,-0.683581,0.006638765962463422,319
279,L_TPOJ2_ROI,-1.94369,-0.32613835979353817,320
280,L_TPOJ3_ROI,-1.92915,-0.3222985495799041,321
281,L_DVT_ROI,-2.82046,-0.5576810283635505,322
282,L_PGp_ROI,-1.29698,-0.15535131280183845,323
283,L_IP2_ROI,3.24056,1.042949404995501,324
284,L_IP1_ROI,4.30382,1.323741468802145,325
285,L_IP0_ROI,-1.0841,-0.09913268843605928,326
286,L_PFop_ROI,-3.07593,-0.6251470748062675,327
287,L_PF_ROI,-0.701412,0.001929848774065213,328
288,L_PFm_ROI,5.5665,1.65719755962412,329
289,L_PGs_ROI,5.77273,1.7116600121934298,331
290,L_V6A_ROI,-4.48494,-0.997246867730105,332
291,L_VMV1_ROI,-4.21048,-0.9247658284430335,333
292,L_VMV3_ROI,-4.17214,-0.9146407717999295,334
293,L_PHA2_ROI,2.91235,0.9562737440452361,335
294,L_V4t_ROI,-4.2133,-0.9255105509191305,336
295,L_V3CD_ROI,-4.00965,-0.871729440189654,338
296,L_LO3_ROI,-4.17645,-0.9157789823928294,339
297,L_VMV2_ROI,-3.84274,-0.8276508485281913,340
298,L_31pd_ROI,6.16807,1.8160637652785816,341
299,L_31a_ROI,4.721,1.433912859787281,342
300,L_VVC_ROI,-3.51311,-0.7406001854800337,343
304,L_PoI1_ROI,-2.74341,-0.5373332032631029,347
305,L_Ig_ROI,-4.4364,-0.9844281340457995,348
306,L_p10p_ROI,5.00252,1.5082583461244388,350
310,L_LBelt_ROI,-3.72311,-0.7960582422106501,354
311,L_A4_ROI,-3.09605,-0.6304604848130294,355
315,L_a32pr_ROI,0.440741,0.303556448150464,359
316,L_p24_ROI,0.577411,0.33964907964271807,360
