subject,session,atlas,roi_pos_id,roi_name,p0_value,p0_label
sub-21,ses-01,nonself,62,R_9p_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-21,ses-01,nonself,97,R_AAIC_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-21,ses-01,nonself,104,R_ProS_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-21,ses-01,nonself,135,R_V4t_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-21,ses-01,nonself,172,L_RSC_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-21,ses-02,nonself,59,R_8Ad_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-21,ses-02,nonself,67,R_47l_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-21,ses-02,nonself,69,R_IFJp_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-21,ses-02,nonself,70,R_IFSp_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-22,ses-01,nonself,47,R_3a_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-22,ses-01,nonself,59,R_8Ad_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-22,ses-01,nonself,89,R_OP1_ROI,7.790553220800402,lag-3 p0 (ACW-50 ≈ 5.4 s)
sub-22,ses-01,nonself,200,L_7Am_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-22,ses-01,nonself,223,L_8C_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-22,ses-02,self,3,Interoception_R_Thalamus,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-22,ses-02,self,12,Exteroception_R_Fusiform,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-22,ses-02,nonself,54,R_d32_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-22,ses-02,nonself,69,R_IFJp_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-22,ses-02,nonself,233,L_46_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-22,ses-02,nonself,281,L_DVT_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-23,ses-01,self,11,Interoception_L_Postcentral,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-23,ses-01,self,33,Cognition_L_ITG,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-23,ses-01,nonself,6,R_V4_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-23,ses-01,nonself,9,R_3b_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-23,ses-01,nonself,13,R_V3A_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-23,ses-01,nonself,90,R_OP2-3_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-23,ses-01,nonself,113,R_STSvp_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-23,ses-01,nonself,134,R_PHA2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-23,ses-01,nonself,168,L_FEF_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-23,ses-01,nonself,202,L_7PC_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-23,ses-01,nonself,277,L_PHT_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-23,ses-02,nonself,18,R_V3B_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-23,ses-02,nonself,41,R_6ma_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-23,ses-02,nonself,112,R_STSdp_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-23,ses-02,nonself,169,L_PEF_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-23,ses-02,nonself,254,L_MI_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-23,ses-02,nonself,279,L_TPOJ2_ROI,7.790553220800402,lag-3 p0 (ACW-50 ≈ 5.4 s)
sub-23,ses-02,nonself,281,L_DVT_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-23,ses-02,nonself,311,L_A4_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-24,ses-01,nonself,10,R_FEF_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-24,ses-02,self,28,Cognition_L_Insula,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-24,ses-02,nonself,191,L_31pv_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-24,ses-02,nonself,220,L_8BL_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-24,ses-02,nonself,244,L_i6-8_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-24,ses-02,nonself,249,L_52_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-25,ses-01,nonself,269,L_STSda_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-25,ses-02,nonself,11,R_PEF_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-25,ses-02,nonself,67,R_47l_ROI,1.0,NaN fallback (1.0)
sub-25,ses-02,nonself,209,L_6mp_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-25,ses-02,nonself,299,L_31a_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-27,ses-01,nonself,18,R_V3B_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-27,ses-01,nonself,100,R_FOP2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-27,ses-01,nonself,161,L_MST_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-27,ses-01,nonself,292,L_VMV3_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-27,ses-02,nonself,247,L_OP1_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-28,ses-01,self,6,Interoception_L_Insula_1,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-28,ses-01,nonself,60,R_9m_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-28,ses-02,nonself,52,R_a24pr_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-28,ses-02,nonself,214,L_p32pr_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-28,ses-02,nonself,257,L_FOP3_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-29,ses-01,nonself,10,R_FEF_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-29,ses-01,nonself,23,R_PSL_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-29,ses-01,nonself,69,R_IFJp_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-29,ses-01,nonself,164,L_V3_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-29,ses-01,nonself,187,L_7Pm_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-29,ses-01,nonself,256,L_FOP1_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-29,ses-01,nonself,269,L_STSda_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-29,ses-01,nonself,280,L_TPOJ3_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-29,ses-02,self,18,Exteroception_R_Postcentral,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-29,ses-02,self,27,Cognition_L_PCC,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-29,ses-02,nonself,54,R_d32_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-29,ses-02,nonself,134,R_PHA2_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
sub-29,ses-02,nonself,254,L_MI_ROI,5.193702147200269,lag-2 p0 (ACW-50 ≈ 3.6 s)
