ROI_Number	ROI_Name	X	Y	Z
199	L_V3B_ROI	-29.5358	-76.0855	21.6143
200	L_LO1_ROI	-37.9124	-80.4520	4.0042
201	L_LO2_ROI	-44.4260	-84.4692	-1.2005
202	L_PIT_ROI	-41.8050	-81.0227	-12.5957
203	L_MT_ROI	-49.8939	-70.3908	7.7398
204	L_A1_ROI	-42.8761	-20.5375	10.5980
205	L_PSL_ROI	-63.4682	-36.0568	25.4446
206	L_SFL_ROI	-8.3416	13.5536	66.0065
207	L_PCV_ROI	-6.1912	-52.8240	52.1518
208	L_STV_ROI	-59.8073	-42.8094	18.5029
209	L_7Pm_ROI	-6.7087	-67.4484	54.4956
210	L_7m_ROI	-4.7571	-63.0738	36.9676
211	L_POS1_ROI	-13.7750	-56.5979	17.5796
213	L_v23ab_ROI	-4.6689	-55.1185	19.7213
215	L_31pv_ROI	-10.7329	-43.9753	33.8546
216	L_5m_ROI	-6.0307	-39.0390	65.4771
217	L_5mv_ROI	-13.0435	-39.1112	53.7836
218	L_23c_ROI	-11.4414	-32.8665	44.0487
219	L_5L_ROI	-14.0858	-45.4834	74.2462
221	L_24dv_ROI	-9.7367	-4.3780	46.1133
222	L_7AL_ROI	-22.2593	-50.5667	68.2514
223	L_SCEF_ROI	-6.8709	2.3831	59.1139
224	L_6ma_ROI	-19.0306	2.7706	67.5940
225	L_7Am_ROI	-10.2557	-58.7399	64.4215
226	L_7PL_ROI	-15.8109	-70.8091	59.6441
227	L_7PC_ROI	-35.2808	-47.4167	62.7484
228	L_LIPv_ROI	-27.8052	-55.6677	53.9057
229	L_VIP_ROI	-23.1466	-61.9218	64.4586
231	L_1_ROI	-46.2709	-22.0991	56.3584
232	L_2_ROI	-36.8773	-30.8578	52.7622
233	L_3a_ROI	-31.7214	-20.4365	47.0543
234	L_6d_ROI	-36.7588	-11.6462	64.4085
235	L_6mp_ROI	-16.8492	-12.1593	68.5463
236	L_6v_ROI	-59.1157	6.2818	30.4624
237	L_p24pr_ROI	-4.7199	-4.4130	40.3021
238	L_33pr_ROI	-3.8528	11.1255	27.9340
239	L_a24pr_ROI	-4.7096	17.2681	33.1111
240	L_p32pr_ROI	-10.3322	11.9043	40.4171
242	L_d32_ROI	-8.4295	37.7656	27.5008
243	L_8BM_ROI	-5.8745	27.1342	47.5903
245	L_10r_ROI	-6.9068	50.7790	-9.6360
246	L_47m_ROI	-33.3330	33.2459	-15.7919
247	L_8Av_ROI	-40.2204	18.3998	48.5247
250	L_8BL_ROI	-13.0966	37.7732	51.7110
251	L_9p_ROI	-19.8816	48.2771	35.5272
252	L_10d_ROI	-9.8160	66.4677	5.7036
253	L_8C_ROI	-39.6873	15.9551	35.2366
254	L_44_ROI	-52.9087	19.3121	10.2176
255	L_45_ROI	-50.2161	27.0031	2.3406
256	L_47l_ROI	-45.7326	32.9212	-13.3976
257	L_a47r_ROI	-38.6327	51.9846	-8.1098
259	L_IFJa_ROI	-44.7746	16.8520	25.0555
260	L_IFJp_ROI	-38.1688	7.6139	27.0301
261	L_IFSp_ROI	-48.9478	28.0793	19.0617
262	L_IFSa_ROI	-48.6120	37.3714	5.5590
263	L_p9-46v_ROI	-45.9783	31.2211	27.8011
264	L_46_ROI	-36.8055	38.6014	30.3527
265	L_a9-46v_ROI	-39.9653	51.3289	9.7597
268	L_10v_ROI	-4.1610	53.4930	-16.4032
269	L_a10p_ROI	-25.5576	61.0390	-8.0801
270	L_10pp_ROI	-13.5054	61.9024	-15.8372
271	L_11l_ROI	-25.5682	47.5373	-15.7059
272	L_13l_ROI	-21.5425	29.2677	-18.0286
273	L_OFC_ROI	-8.9456	34.1053	-24.2094
274	L_47s_ROI	-31.4119	22.9942	-19.3407
275	L_LIPd_ROI	-29.0968	-52.4140	43.0518
276	L_6a_ROI	-27.2644	-1.8318	53.2397
277	L_i6-8_ROI	-34.2748	8.6579	58.4564
278	L_s6-8_ROI	-21.4801	17.9644	59.6133
280	L_OP4_ROI	-57.8922	-11.9796	15.2058
281	L_OP1_ROI	-43.4825	-19.4263	19.4862
282	L_OP2-3_ROI	-38.7312	-13.1303	18.2418
283	L_52_ROI	-38.9449	-19.2629	0.4902
284	L_RI_ROI	-40.9447	-30.2890	18.9605
285	L_PFcm_ROI	-48.8161	-27.6722	22.3391
287	L_TA2_ROI	-50.9847	1.3972	-5.7532
288	L_FOP4_ROI	-38.2164	14.3164	7.7431
289	L_MI_ROI	-36.5664	12.0739	1.7920
290	L_Pir_ROI	-31.9045	7.7613	-18.9692
293	L_FOP1_ROI	-46.9946	3.8954	5.7342
294	L_FOP3_ROI	-34.3195	7.8538	11.5487
295	L_FOP2_ROI	-40.4672	-1.9459	15.2821
296	L_PFt_ROI	-55.5461	-21.6922	39.7861
298	L_EC_ROI	-20.5762	-12.4696	-29.4601
299	L_PreS_ROI	-16.8822	-32.8838	-11.3739
300	L_H_ROI	-26.4584	-20.7554	-18.1044
301	L_ProS_ROI	-21.6446	-49.5996	2.8839
303	L_STGa_ROI	-50.5918	14.7081	-17.7708
304	L_PBelt_ROI	-56.6871	-18.3664	8.1464
305	L_A5_ROI	-62.7584	-13.8245	-2.6484
306	L_PHA1_ROI	-22.6962	-34.8312	-16.0204
307	L_PHA3_ROI	-33.8725	-36.8926	-15.2170
308	L_STSda_ROI	-52.7237	-1.8973	-14.5579
309	L_STSdp_ROI	-49.6239	-26.9855	-1.7542
310	L_STSvp_ROI	-57.9554	-30.0172	-4.5355
311	L_TGd_ROI	-38.0562	13.7701	-35.2283
313	L_TE1p_ROI	-61.6163	-42.5730	-12.6511
314	L_TE2a_ROI	-55.2157	-17.0669	-30.4349
315	L_TF_ROI	-41.3212	-21.1224	-29.0177
316	L_TE2p_ROI	-48.0522	-39.2655	-20.5280
317	L_PHT_ROI	-59.6626	-55.3206	-3.7791
319	L_TPOJ1_ROI	-54.4878	-42.2103	10.1592
320	L_TPOJ2_ROI	-53.5254	-57.4707	7.8935
321	L_TPOJ3_ROI	-43.9612	-62.8741	16.3605
322	L_DVT_ROI	-21.2220	-68.6467	32.3607
323	L_PGp_ROI	-42.2559	-78.7833	26.4671
324	L_IP2_ROI	-42.5660	-43.8086	44.9499
325	L_IP1_ROI	-35.3336	-64.2346	45.4473
326	L_IP0_ROI	-33.8503	-72.1444	30.6018
327	L_PFop_ROI	-62.3103	-18.6095	25.7156
328	L_PF_ROI	-60.5391	-30.1702	37.1615
329	L_PFm_ROI	-53.2594	-47.5209	43.7008
331	L_PGs_ROI	-45.6286	-67.1188	42.7714
332	L_V6A_ROI	-23.3834	-82.6080	45.7997
333	L_VMV1_ROI	-18.4812	-55.3068	-7.5307
334	L_VMV3_ROI	-27.7515	-59.4961	-9.9159
335	L_PHA2_ROI	-30.7472	-34.6404	-13.3399
336	L_V4t_ROI	-49.9182	-75.7196	-1.0981
338	L_V3CD_ROI	-36.3403	-82.6663	14.4719
339	L_LO3_ROI	-44.9132	-76.2267	11.2780
340	L_VMV2_ROI	-27.2536	-54.5562	-6.0612
341	L_31pd_ROI	-10.6651	-52.4986	37.2907
342	L_31a_ROI	-6.2185	-40.9287	42.1591
343	L_VVC_ROI	-28.8198	-45.2030	-18.1696
344	L_25_ROI	-3.7796	22.5954	-13.1239
345	L_s32_ROI	-4.8068	35.7582	-14.1232
346	L_pOFC_ROI	-14.0598	13.8461	-19.3402
347	L_PoI1_ROI	-38.2702	-8.7188	-5.3889
348	L_Ig_ROI	-36.4915	-11.7906	12.8120
350	L_p10p_ROI	-24.8883	60.4174	4.6283
351	L_p47r_ROI	-45.7273	44.1549	-3.8908
352	L_TGv_ROI	-35.9736	-0.9464	-45.4792
353	L_MBelt_ROI	-45.7695	-15.3612	4.1740
354	L_LBelt_ROI	-47.3737	-24.2488	10.1916
355	L_A4_ROI	-64.2724	-15.4119	6.8341
356	L_STSva_ROI	-53.8683	-9.7950	-16.7499
357	L_TE1m_ROI	-64.7305	-22.9272	-15.6529
358	L_PI_ROI	-44.3442	-3.2788	-12.8894
359	L_a32pr_ROI	-10.8047	26.7647	30.6223
360	L_p24_ROI	-5.0904	36.5669	16.1922
