"roi_pos_id","roi_name","self_layer","n_obs","term","estimate","SE","p_value","status","message","p_fdr"
231,"R_1_ROI","nonself",70,"groupverum:sessionses-02",-0.201494187011105,0.198146625212787,0.316601574084001,"ok",NA,0.802645580836457
232,"R_2_ROI","nonself",70,"groupverum:sessionses-02",-0.508397433577542,0.195692828520951,0.0139072039676085,"ok",NA,0.63509564785412
233,"R_3a_ROI","nonself",70,"groupverum:sessionses-02",-0.242844909890799,0.194810998667953,0.221332631063154,"ok",NA,0.793039056549883
234,"R_6d_ROI","nonself",70,"groupverum:sessionses-02",-0.267570128920594,0.202280940760634,0.195007380542423,"ok",NA,0.788406664078812
235,"R_6mp_ROI","nonself",70,"groupverum:sessionses-02",-0.428038470151958,0.227202529385695,0.0684075902970129,"ok",NA,0.777834829807756
236,"R_6v_ROI","nonself",70,"groupverum:sessionses-02",-0.0616861905892397,0.187883568991649,0.744742964940446,"ok",NA,0.998717586568188
280,"R_OP4_ROI","nonself",70,"groupverum:sessionses-02",0.0833515540773564,0.226410702822922,0.715117508892422,"ok",NA,0.998717586568188
281,"R_OP1_ROI","nonself",70,"groupverum:sessionses-02",0.120713372370903,0.218734138652922,0.584753953017337,"ok",NA,0.976966970285063
282,"R_OP2-3_ROI","nonself",70,"groupverum:sessionses-02",-0.17444191471009,0.171155975372345,0.315522997641464,"ok",NA,0.802645580836457
283,"R_52_ROI","nonself",70,"groupverum:sessionses-02",0.0892890892178764,0.215258246390593,0.680972770574563,"ok",NA,0.982034416512791
284,"R_RI_ROI","nonself",70,"groupverum:sessionses-02",-0.0763947917606262,0.212656507552618,0.721703856556017,"ok",NA,0.998717586568188
295,"R_FOP2_ROI","nonself",70,"groupverum:sessionses-02",-0.0947305116882731,0.185078313687261,0.612171301356878,"ok",NA,0.982034416512791
301,"R_ProS_ROI","nonself",70,"groupverum:sessionses-02",-0.0473538456121463,0.221971451990291,0.832379724083964,"ok",NA,0.998717586568188
304,"R_PBelt_ROI","nonself",70,"groupverum:sessionses-02",-0.018837704333603,0.181459186083234,0.917946626380085,"ok",NA,0.998717586568188
322,"R_DVT_ROI","nonself",70,"groupverum:sessionses-02",0.122688700896822,0.169771540650103,0.474973816568741,"ok",NA,0.868711395864962
332,"R_V6A_ROI","nonself",70,"groupverum:sessionses-02",-0.056297969555735,0.241448353098276,0.817071423271604,"ok",NA,0.998717586568188
333,"R_VMV1_ROI","nonself",70,"groupverum:sessionses-02",-0.205468830761829,0.163827042268044,0.21858756823815,"ok",NA,0.793039056549883
334,"R_VMV3_ROI","nonself",70,"groupverum:sessionses-02",-0.0895711085385726,0.214005785462447,0.678260025150199,"ok",NA,0.982034416512791
336,"R_V4t_ROI","nonself",70,"groupverum:sessionses-02",-0.27064327818657,0.209399511728822,0.205170381128013,"ok",NA,0.793039056549883
337,"R_FST_ROI","nonself",70,"groupverum:sessionses-02",-0.40636558027793,0.18322781222895,0.0335637160924303,"ok",NA,0.777834829807756
338,"R_V3CD_ROI","nonself",70,"groupverum:sessionses-02",-0.268867576097027,0.242873240270669,0.276286149609318,"ok",NA,0.802645580836457
339,"R_LO3_ROI","nonself",70,"groupverum:sessionses-02",-0.191794381330895,0.174865912838257,0.280664699912546,"ok",NA,0.802645580836457
340,"R_VMV2_ROI","nonself",70,"groupverum:sessionses-02",0.0170908332035656,0.213754413847055,0.936755599212512,"ok",NA,0.998717586568188
343,"R_VVC_ROI","nonself",70,"groupverum:sessionses-02",-0.0267164809902703,0.182751308042308,0.884660502719895,"ok",NA,0.998717586568188
348,"R_Ig_ROI","nonself",70,"groupverum:sessionses-02",-0.199200583152655,0.210119628421624,0.346570467928733,"singular",NA,0.802645580836457
354,"R_LBelt_ROI","nonself",70,"groupverum:sessionses-02",-0.304409365899619,0.17413510761504,0.0897423160357324,"ok",NA,0.777834829807756
355,"R_A4_ROI","nonself",70,"groupverum:sessionses-02",-0.188934324662109,0.209439676638819,0.373544258821021,"ok",NA,0.825412313846449
